iter	Passed	Remaining
0	0	95
1	1	92
2	2	91
3	3	86
4	4	84
5	5	82
6	6	81
7	6	79
8	7	77
9	8	76
10	9	75
11	10	73
12	10	72
13	11	72
14	12	71
15	13	71
16	14	70
17	15	70
18	16	69
19	17	70
20	18	69
21	19	68
22	20	67
23	20	66
24	21	65
25	22	64
26	23	62
27	24	62
28	25	61
29	25	60
30	26	59
31	27	58
32	28	57
33	29	56
34	30	55
35	30	54
36	31	53
37	32	52
38	33	51
39	34	51
40	34	50
41	35	49
42	36	48
43	37	47
44	37	46
45	38	45
46	39	44
47	40	43
48	41	42
49	42	42
50	43	41
51	43	40
52	44	39
53	45	38
54	46	37
55	46	36
56	47	35
57	48	35
58	49	34
59	50	33
60	50	32
61	51	31
62	52	30
63	53	30
64	54	29
65	55	28
66	56	27
67	57	26
68	57	26
69	58	25
70	59	24
71	60	23
72	61	22
73	61	21
74	62	20
75	63	20
76	64	19
77	65	18
78	65	17
79	66	16
80	67	15
81	68	14
82	68	14
83	69	13
84	69	12
85	70	11
86	71	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	74	5
93	75	4
94	75	3
95	76	3
96	76	2
97	77	1
98	78	0
99	78	0
