iter	Passed	Remaining
0	142	142815
1	144	72306
2	146	48805
3	148	37008
4	151	30167
5	153	25510
6	156	22137
7	158	19646
8	160	17727
9	163	16167
10	165	14865
11	167	13766
12	169	12844
13	171	12091
14	173	11411
15	175	10804
16	177	10281
17	179	9788
18	181	9345
19	183	8993
20	186	8689
21	187	8356
22	189	8054
23	190	7755
24	191	7484
25	193	7241
26	194	7012
27	195	6785
28	196	6570
29	196	6369
30	197	6185
31	198	6018
32	199	5859
33	200	5705
34	201	5557
35	202	5424
36	203	5292
37	204	5168
38	204	5049
39	205	4935
40	206	4828
41	207	4727
42	208	4630
43	208	4536
44	209	4447
45	210	4361
46	211	4279
47	211	4202
48	213	4136
49	214	4069
50	214	4000
51	215	3936
52	216	3870
53	217	3808
54	218	3749
55	219	3691
56	219	3636
57	220	3581
58	221	3529
59	222	3478
60	222	3429
61	223	3381
62	224	3336
63	225	3291
64	225	3250
65	226	3210
66	227	3174
67	228	3136
68	229	3097
69	230	3060
70	231	3022
71	231	2986
72	232	2951
73	233	2918
74	233	2884
75	234	2852
76	235	2822
77	236	2791
78	236	2762
79	237	2733
80	238	2705
81	239	2677
82	239	2647
83	240	2623
84	241	2599
85	242	2577
86	243	2556
87	244	2535
88	245	2512
89	246	2489
90	246	2467
91	247	2445
92	248	2423
93	249	2402
94	249	2381
95	250	2360
96	251	2340
97	252	2320
98	252	2301
99	253	2282
100	254	2264
101	255	2247
102	256	2230
103	257	2215
104	258	2203
105	259	2187
106	260	2170
107	260	2155
108	261	2138
109	262	2124
110	263	2108
111	264	2093
112	264	2078
113	265	2063
114	266	2049
115	267	2035
116	267	2020
117	268	2006
118	269	1993
119	270	1980
120	271	1968
121	271	1956
122	272	1945
123	273	1932
124	274	1920
125	275	1908
126	275	1895
127	276	1883
128	277	1871
129	277	1860
130	278	1848
131	279	1837
132	280	1826
133	281	1816
134	281	1805
135	282	1794
136	283	1784
137	284	1774
138	285	1766
139	286	1757
140	287	1748
141	287	1737
142	288	1728
143	289	1718
144	289	1709
145	290	1701
146	291	1693
147	292	1685
148	293	1677
149	294	1668
150	295	1659
151	295	1650
152	296	1641
153	297	1633
154	297	1623
155	298	1616
156	299	1610
157	301	1607
158	303	1605
159	304	1597
160	304	1587
161	305	1579
162	306	1571
163	306	1563
164	307	1555
165	307	1547
166	308	1539
167	309	1531
168	309	1523
169	310	1515
170	311	1508
171	311	1500
172	312	1493
173	313	1487
174	314	1481
175	315	1476
176	316	1469
177	316	1462
178	317	1455
179	318	1448
180	318	1441
181	319	1435
182	319	1428
183	320	1421
184	321	1415
185	321	1408
186	322	1402
187	323	1395
188	323	1389
189	324	1382
190	325	1376
191	325	1370
192	326	1364
193	327	1359
194	328	1355
195	329	1351
196	330	1345
197	330	1340
198	331	1334
199	332	1329
200	332	1323
201	333	1317
202	334	1312
203	334	1306
204	335	1301
205	336	1295
206	336	1290
207	337	1285
208	338	1279
209	338	1274
210	339	1269
211	340	1264
212	341	1260
213	341	1255
214	342	1251
215	343	1247
216	344	1243
217	345	1239
218	346	1234
219	346	1229
220	347	1224
221	348	1220
222	348	1215
223	349	1210
224	350	1206
225	350	1201
226	351	1197
227	352	1193
228	353	1189
229	354	1185
230	354	1181
231	355	1177
232	356	1173
233	357	1170
234	358	1166
235	359	1163
236	360	1160
237	361	1156
238	361	1151
239	362	1147
240	363	1143
241	363	1140
242	364	1136
243	365	1132
244	366	1128
245	366	1124
246	367	1120
247	368	1117
248	369	1113
249	370	1110
250	370	1106
251	371	1103
252	372	1099
253	373	1096
254	374	1093
255	374	1089
256	375	1086
257	376	1083
258	377	1080
259	378	1078
260	379	1075
261	380	1072
262	381	1068
263	382	1065
264	382	1061
265	383	1058
266	384	1054
267	384	1050
268	385	1047
269	386	1043
270	386	1040
271	387	1037
272	388	1034
273	389	1032
274	390	1028
275	390	1025
276	391	1021
277	392	1018
278	392	1014
279	393	1011
280	393	1008
281	394	1004
282	395	1001
283	395	997
284	396	994
285	397	991
286	397	988
287	398	985
288	399	981
289	399	978
290	400	975
291	401	972
292	401	969
293	402	967
294	403	964
295	404	961
296	405	958
297	405	955
298	406	952
299	407	949
300	407	946
301	408	943
302	408	940
303	409	937
304	410	934
305	411	932
306	411	929
307	412	926
308	413	923
309	413	920
310	414	918
311	414	915
312	415	912
313	416	909
314	417	907
315	418	905
316	418	902
317	419	899
318	420	897
319	420	894
320	421	891
321	422	888
322	422	885
323	423	883
324	424	881
325	425	879
326	426	876
327	426	874
328	427	872
329	428	869
330	429	867
331	429	864
332	430	862
333	431	860
334	432	858
335	433	857
336	434	854
337	435	852
338	435	850
339	436	847
340	437	845
341	438	843
342	439	841
343	440	839
344	440	836
345	441	834
346	442	832
347	442	829
348	443	827
349	444	825
350	445	823
351	445	821
352	447	819
353	447	817
354	448	814
355	449	812
356	449	810
357	450	808
358	451	805
359	452	803
360	452	801
361	453	799
362	454	797
363	455	795
364	455	793
365	456	790
366	457	788
367	458	786
368	458	784
369	459	782
370	460	781
371	461	779
372	462	777
373	463	775
374	464	773
375	464	771
376	465	769
377	466	767
378	466	765
379	467	763
380	468	760
381	469	758
382	469	756
383	470	754
384	471	752
385	471	750
386	472	748
387	473	746
388	474	745
389	475	743
390	476	741
391	476	739
392	477	737
393	478	736
394	479	734
395	480	732
396	481	731
397	482	730
398	483	728
399	484	726
400	484	724
401	485	722
402	486	720
403	487	718
404	487	716
405	488	714
406	489	713
407	490	711
408	491	710
409	492	708
410	493	706
411	494	705
412	495	703
413	495	702
414	496	700
415	497	699
416	498	697
417	499	695
418	500	694
419	501	692
420	502	691
421	503	689
422	504	687
423	505	686
424	506	684
425	507	683
426	508	682
427	509	680
428	509	678
429	510	677
430	511	675
431	512	673
432	513	671
433	513	670
434	514	668
435	515	666
436	516	664
437	517	663
438	518	662
439	519	661
440	520	659
441	521	657
442	521	656
443	522	654
444	523	652
445	524	651
446	525	650
447	527	649
448	528	648
449	529	646
450	530	645
451	531	644
452	532	643
453	534	642
454	535	641
455	536	639
456	537	638
457	538	637
458	539	635
459	540	634
460	541	633
461	542	632
462	544	631
463	544	629
464	545	627
465	546	626
466	548	625
467	549	624
468	550	622
469	550	621
470	551	619
471	552	617
472	553	616
473	553	614
474	554	612
475	555	611
476	556	609
477	556	608
478	557	606
479	558	604
480	559	603
481	559	601
482	560	600
483	562	599
484	563	597
485	563	596
486	564	594
487	565	593
488	566	591
489	566	590
490	567	588
491	568	587
492	569	585
493	570	584
494	571	583
495	572	581
496	573	580
497	574	578
498	575	577
499	576	576
500	577	574
501	578	573
502	579	572
503	579	570
504	580	568
505	581	567
506	581	565
507	582	564
508	583	562
509	584	561
510	584	559
511	585	557
512	586	556
513	586	555
514	588	553
515	588	552
516	590	551
517	591	550
518	592	549
519	593	547
520	594	546
521	595	545
522	596	544
523	597	542
524	598	541
525	599	539
526	599	538
527	600	537
528	601	535
529	602	534
530	603	533
531	604	532
532	606	530
533	606	529
534	607	528
535	608	526
536	609	525
537	610	524
538	611	523
539	612	522
540	613	520
541	614	519
542	615	518
543	616	516
544	617	515
545	618	513
546	619	512
547	620	511
548	621	510
549	623	509
550	624	508
551	624	507
552	625	505
553	626	504
554	627	503
555	628	501
556	629	500
557	630	499
558	630	497
559	631	496
560	632	494
561	633	493
562	634	492
563	635	491
564	636	490
565	637	489
566	638	487
567	639	486
568	641	485
569	642	484
570	643	483
571	644	482
572	645	481
573	646	479
574	647	478
575	648	477
576	649	476
577	650	475
578	651	473
579	652	472
580	652	470
581	653	469
582	654	468
583	656	467
584	656	466
585	657	464
586	658	463
587	659	461
588	659	460
589	660	459
590	661	457
591	662	456
592	663	455
593	664	454
594	665	452
595	665	451
596	666	450
597	667	448
598	668	447
599	669	446
600	669	444
601	670	443
602	671	441
603	671	440
604	672	439
605	673	437
606	674	436
607	674	435
608	675	433
609	676	432
610	677	431
611	678	430
612	679	428
613	680	427
614	680	426
615	681	424
616	682	423
617	683	422
618	684	421
619	684	419
620	685	418
621	686	417
622	687	415
623	687	414
624	688	413
625	689	411
626	690	410
627	690	409
628	692	408
629	693	407
630	694	405
631	694	404
632	695	403
633	696	402
634	697	400
635	698	399
636	698	398
637	699	396
638	700	395
639	701	394
640	702	393
641	702	391
642	703	390
643	704	389
644	705	388
645	706	387
646	707	385
647	708	384
648	709	383
649	709	382
650	710	380
651	711	379
652	712	378
653	712	377
654	713	375
655	714	374
656	714	373
657	715	371
658	716	370
659	717	369
660	718	368
661	719	367
662	720	365
663	721	364
664	722	363
665	722	362
666	723	361
667	724	360
668	725	358
669	726	357
670	727	356
671	728	355
672	729	354
673	730	353
674	730	351
675	731	350
676	732	349
677	733	348
678	734	347
679	735	345
680	736	344
681	737	343
682	738	342
683	739	341
684	739	340
685	740	338
686	741	337
687	742	336
688	743	335
689	744	334
690	744	333
691	745	331
692	746	330
693	746	329
694	747	327
695	748	326
696	749	325
697	750	324
698	751	323
699	752	322
700	753	321
701	754	320
702	754	318
703	755	317
704	756	316
705	756	315
706	757	313
707	758	312
708	758	311
709	759	310
710	760	309
711	760	307
712	761	306
713	762	305
714	763	304
715	764	303
716	764	301
717	765	300
718	767	300
719	769	299
720	769	297
721	770	296
722	771	295
723	771	294
724	772	293
725	773	291
726	774	290
727	774	289
728	775	288
729	776	287
730	776	285
731	778	284
732	779	283
733	780	282
734	780	281
735	781	280
736	782	279
737	782	277
738	783	276
739	784	275
740	785	274
741	786	273
742	787	272
743	787	271
744	788	269
745	789	268
746	789	267
747	790	266
748	790	265
749	791	263
750	792	262
751	793	261
752	794	260
753	795	259
754	795	258
755	796	257
756	797	255
757	798	254
758	799	253
759	799	252
760	800	251
761	800	250
762	801	249
763	802	247
764	802	246
765	803	245
766	804	244
767	805	243
768	805	242
769	806	240
770	807	239
771	808	238
772	809	237
773	810	236
774	811	235
775	811	234
776	812	233
777	813	232
778	813	230
779	814	229
780	814	228
781	815	227
782	816	226
783	817	225
784	818	224
785	819	223
786	819	221
787	820	220
788	821	219
789	821	218
790	822	217
791	823	216
792	824	215
793	825	214
794	825	212
795	826	211
796	827	210
797	827	209
798	828	208
799	829	207
800	830	206
801	831	205
802	832	204
803	832	202
804	833	201
805	833	200
806	834	199
807	835	198
808	836	197
809	837	196
810	838	195
811	839	194
812	840	193
813	840	192
814	841	191
815	842	189
816	842	188
817	843	187
818	844	186
819	845	185
820	846	184
821	846	183
822	847	182
823	848	181
824	848	180
825	849	178
826	850	177
827	851	176
828	852	175
829	852	174
830	853	173
831	854	172
832	855	171
833	855	170
834	856	169
835	857	168
836	857	167
837	858	165
838	859	164
839	859	163
840	860	162
841	861	161
842	861	160
843	862	159
844	863	158
845	863	157
846	864	156
847	865	155
848	866	154
849	867	153
850	868	152
851	868	150
852	869	149
853	870	148
854	870	147
855	871	146
856	871	145
857	872	144
858	873	143
859	874	142
860	874	141
861	875	140
862	876	139
863	876	138
864	877	136
865	878	135
866	878	134
867	879	133
868	880	132
869	881	131
870	882	130
871	882	129
872	883	128
873	884	127
874	884	126
875	885	125
876	885	124
877	886	123
878	887	122
879	888	121
880	889	120
881	890	119
882	890	118
883	891	117
884	892	115
885	893	114
886	893	113
887	894	112
888	895	111
889	896	110
890	897	109
891	897	108
892	898	107
893	898	106
894	899	105
895	900	104
896	901	103
897	901	102
898	902	101
899	903	100
900	903	99
901	904	98
902	905	97
903	905	96
904	906	95
905	907	94
906	907	93
907	908	92
908	909	91
909	910	90
910	911	89
911	912	88
912	912	86
913	913	85
914	913	84
915	914	83
916	915	82
917	916	81
918	916	80
919	917	79
920	917	78
921	918	77
922	919	76
923	919	75
924	920	74
925	921	73
926	921	72
927	922	71
928	923	70
929	923	69
930	924	68
931	925	67
932	926	66
933	926	65
934	927	64
935	928	63
936	929	62
937	929	61
938	930	60
939	931	59
940	932	58
941	932	57
942	933	56
943	933	55
944	934	54
945	935	53
946	935	52
947	936	51
948	937	50
949	938	49
950	939	48
951	939	47
952	940	46
953	941	45
954	942	44
955	942	43
956	943	42
957	944	41
958	944	40
959	945	39
960	946	38
961	946	37
962	947	36
963	948	35
964	948	34
